"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C301,C304,C306,C307,C802","5","100n","","","","project_footprints:C_0402","~"
"C302,C303,C305,C308,C309,C702,C703,C705,C706,C708,C709,C710","12","4u7","","","","project_footprints:C_0402","~"
"C601,C602,C603,C604,C701,C704,C801,C803,C804","9","1u","","","","project_footprints:C_0402","~"
"C707","1","22p","","","","project_footprints:C_0402","~"
"C805,C806","2","10p","","","","project_footprints:C_0402","~"
"D701","1","RED","","","","project_footprints:LED_0402","~"
"FL301","1","EMIF06-MSD02N16","","","","project_footprints:EMIF06MSD02N16","https://www.st.com/resource/en/datasheet/emif06-msd02n16.pdf"
"H101,H102,H103","3","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"J105","1","MSD-1-A","","","","project_footprints:MSD1A","https://www.sameskydevices.com/product/resource/MSD-1-A.pdf"
"J201,J202","2","USB4510-03-1-A","","","","project_footprints:USB4510031A","https://gct.co/files/drawings/usb4510.pdf"
"J204","1","GSB12J21C1EU","","","","project_footprints:GSB12J21C1EU",""
"J501","1","Conn_02x08_Odd_Even","","","","Connector_PinSocket_1.27mm:PinSocket_2x08_P1.27mm_Horizontal","~"
"J601,J602","2","F31Z1A7H111008","","","","project_footprints:F31Z1A7H111008","https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/f31z-f31w.pdf"
"J701","1","Conn_01x02","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~"
"L701","1","78438313015","","","","project_footprints:L_Wurth_WE-MAIA-1610","https://www.we-online.com/catalog/datasheet/78438313015.pdf?ki"
"NT601,NT602,NT603,NT604","4","NetTie_2","","Excluded from BOM","","project_footprints:NetTie-2_SMD_Pad0.15mm","~"
"R201,R202","2","22k","","","","project_footprints:R_0402","~"
"R205,R206","2","5k1","","","","project_footprints:R_0402","~"
"R401,R705","2","806k","","","","project_footprints:R_0402","~"
"R402","1","2M","","","","project_footprints:R_0402","~"
"R701,R704,R803,R804,R806,R807","6","10k","","","","project_footprints:R_0402","~"
"R702","1","1k","","","","project_footprints:R_0402","~"
"R703","1","13k","","","","project_footprints:R_0402","~"
"R706","1","180k","","","","project_footprints:R_0402","~"
"R801","1","47k","","","","project_footprints:R_0402","~"
"R802","1","100k","","","","project_footprints:R_0402","~"
"R805","1","12k","","","","project_footprints:R_0402","~"
"S701","1","PCM12SMTBR","","","","project_footprints:PCM12SMTBR","https://www.ckswitches.com/media/1424/pcm.pdf"
"U103","1","GL835","","","","project_footprints:QFN50P400X400X100-25N-D","https://www.lcsc.com/datasheet/C5182402.pdf"
"U201,U202","2","USBLC6-4SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-4.pdf"
"U401","1","NINA-B302-00B","","","","project_footprints:NINAB30200B","https://www.u-blox.com/en/docs/UBX-17052099"
"U601,U602,U801","3","NCP380HMU05AATBG","","","","project_footprints:SON65P200X200X55-7N","https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf"
"U701","1","BQ25185DLHR","","","","project_footprints:SON40P220X200X80-11N","https://www.ti.com/lit/ds/symlink/bq25185.pdf?ts=1706857561339&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FBQ25185"
"U702","1","TPS62290TDRVRQ1","","","","project_footprints:SON65P200X200X80-7N","http://www.ti.com/lit/gpn/tps62290-q1"
"U802","1","USB2534-1080AEN","","","","project_footprints:QFN50P600X600X100-37N-D","https://www.arrow.com/en/products/usb2534-1080aen/microchip-technology?region=nac"
"Y801","1","CX2016SA24000D0HLLG3","","","","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","~"
