"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C201,C202,C203,C204,C205,C206,C302","7","1u","","","","project_footprints:C_0402","~"
"C301,C303,C304,C305","4","100n","","","","project_footprints:C_0402","~"
"C306,C307","2","4u7","","","","project_footprints:C_0402","~"
"D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D223,D224","24","SK6812-E","","","","project_footprints:sk6812-e",""
"H101,H102,H103,H104","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"J301","1","F31Z1A7H111008","","","","project_footprints:F31Z1A7H111008","https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/f31z-f31w.pdf"
"Q201","1","DMN21D2UFB-7B","","","","project_footprints:DMN21D2UFB7B","https://componentsearchengine.com/Datasheets/1/DMN21D2UFB-7B.pdf"
"R6,R203","2","10k","","","","project_footprints:R_0402","~"
"R7,R201,R202","3","2k2","","","","project_footprints:R_0402","~"
"SW201,SW202,SW203,SW204,SW205,SW206,SW207,SW208,SW209,SW210,SW211,SW212,SW213,SW214,SW215,SW216,SW217,SW218,SW219,SW220,SW221,SW222,SW223,SW224","24","SW_DIP_x01","","","","project_footprints:SW_Kailh_Choc_V1_HotSwap","~"
"U301","1","STM32U031C6Ux","","","","project_footprints:QFN50P700X700X60-49N-D","https://www.st.com/resource/en/datasheet/stm32u031c6.pdf"
