"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C8","2","1u","","","","project_footprints:C_0402","~"
"C2,C4,C5,C6,C7,C9,C10,C11","8","100n","","","","project_footprints:C_0402","~"
"C3","1","22u","","","","project_footprints:C_0603","~"
"C12,C13","2","4u7","","","","project_footprints:C_0402","~"
"D1,D2,D3","3","SK6812-E","","","","project_footprints:sk6812-e",""
"H1,H2,H3","3","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"J1","1","F31L-1A7H1-11008","","","","project_footprints:F31L-1A7H1-11008","https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/a-s0099-lf31l.pdf"
"JP1","1","SolderJumper_2_Bridged","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~"
"M1","1","2206-100T","","","","project_footprints:2206-100T",""
"Q1,Q3","2","DMP21D0UFB-7B","","","","project_footprints:DMP21D0UFB7B","https://www.diodes.com/assets/Datasheets/DMP21D0UFB.pdf"
"Q2","1","DMN21D2UFB-7B","","","","project_footprints:DMN21D2UFB7B","https://componentsearchengine.com/Datasheets/1/DMN21D2UFB-7B.pdf"
"R1,R4,R7","3","2k2","","","","project_footprints:R_0402","~"
"R2,R3,R5,R6","4","10k","","","","project_footprints:R_0402","~"
"R8","1","500m","","","","project_footprints:R_0402","~"
"SW1,SW2,SW3","3","SW_DIP_x01","","","","project_footprints:SW_Kailh_Choc_V1_HotSwap","~"
"U1","1","AS5600","","","","project_footprints:as5600-rear-magnet","https://www.mouser.com/pdfdocs/AMS_AS5600_Datasheet_EN.PDF"
"U2","1","TMC6300-LA","","","","project_footprints:QFN40P300X300X90-21N","https://www.analog.com/TMC6300/datasheet"
"U3","1","STM32U031C6Ux","","","","project_footprints:QFN50P700X700X60-49N-D","https://www.st.com/resource/en/datasheet/stm32u031c6.pdf"
